GeneId	Ks	P2	ReadDepth	GeneProduct
cds289	0.100377	0.0278519	4.40663	MFS transporter
cds888	0.0696713	0.022983	1.36049	integrase/recombinase XerD
cds21	0.042437	0.00684172	1.21161	membrane protein
cds607	0.0401731	0.00547811	2.00197	membrane protein
cds1285	0.0318236	0.00570864	1.49942	metal-dependent hydrolase
cds437	0.0313801	0.00292158	1.09122	hypothetical protein
cds905	0.0268879	0.00596211	1.28462	amino acid permease
cds1163	0.0266721	0.00317859	1.44444	membrane protein
cds1274	0.0177627	0.000344131	3.0378	type I restriction-modification system specificity protein
cds52	0.0147674	0.00045758	1.20926	hypothetical protein
cds1000	0.013675	0.000361785	1.00437	hypothetical protein
cds470	0.0133646	0.0014688	0.854253	cag pathogenicity island protein cag7
cds990	0.0101607	0.000160148	1.65201	LPS biosynthesis protein
cds344	0.00974874	0.00140553	0.988263	fucosyltransferase
cds608	0.00644206	0.000169703	3.47507	hypothetical protein
cds887	0.00641269	0.000991668	1.58582	hypothetical protein
cds190	0.00618675	0.000411178	1.6255	beta-lactamase HcpA
cds811	0.00475897	0.000205045	1.18874	flagellar basal body rod modification protein
cds310	0.00444883	0	1.64706	hypothetical protein
cds187	0.00423449	0.000615512	1.21117	lipopolysaccharide biosynthesis protein
cds634	0.00269738	0.000137632	0.945884	DNA polymerase III subunits gamma and tau
cds463	0.00193388	0	1.19495	Sel1 repeat-containing protein
cds105	0.00172169	8.3516e-05	0.632997	hypothetical protein
cds48	0.00139294	0	0.94269	hypothetical protein
cds1346	0.00120952	0	1.15924	ubiquinone/menaquinone biosynthesis methyltransferase
cds699	0.0011993	0	0.914352	type I restriction-modification system specificity protein
cds983	0.00111781	0.000177221	1.30813	beta-lactamase HcpC
cds6	0.000887734	0.000103553	0.846719	membrane protein
cds871	0.000865996	0	0.978343	hypothetical protein
cds802	0.000758704	0.000107754	1.00235	membrane protein
cds1260	0.00064133	2.17867e-05	2.94753	hypothetical protein
cds1265	0.000633416	0	1.02984	DNA repair protein RecN
cds834	0.000476761	0	1.11508	7-carboxy-7-deazaguanine synthase
cds1061	0.000472356	0	0.934685	multidrug transporter
cds496	0.000428756	0	1.07039	hypothetical protein
cds669	0.000358429	0	0.98521	N-carbamoylputrescine amidase
cds1207	0.000326663	0	0.952132	hypothetical protein
cds106	0.000280272	9.52916e-06	1.45887	hypothetical protein
cds468	0.000257631	0	1.18026	type IV secretion system ATPase
cds1156	0.000238694	0	1.07851	anthranilate synthase component I
cds439	0.000230909	0	1.97354	50S ribosomal protein L28
cds652	0.000228147	0	1.23691	phosphatidylglycerophosphatase
cds260	0.000217174	0	1.01018	membrane protein
cds36	0.000211673	0	0.993892	GDP-D-mannose dehydratase
cds748	0.00016582	0	1.03194	UDP-N-acetylglucosamine 4%2C6-dehydratase
cds331	0.000158869	0	1.1746	protein-L-isoaspartate O-methyltransferase
cds614	0.000157047	0	1.08494	succinyl-CoA:3-ketoacid-CoA transferase subunit B
cds120	0.000155283	0	1.02174	serine transporter SdaC
cds1407	0.000152753	0	1.48177	preprotein translocase subunit YajC
cds970	0.000150561	0	1.06926	aspartate carbamoyltransferase
cds592	0.000145728	0	0.99759	hypothetical protein
cds941	0.000143305	0	1.11429	membrane protein
cds674	0.000142219	0	0.972789	signal recognition particle receptor FtsY
cds16	0.000140043	0	1.12526	chemotaxis protein CheV
cds420	0.000127045	0	1.47035	hypothetical protein
cds1011	0.000124455	0	1.28148	peptidoglycan associated lipoprotein
cds1202	0.00012319	0	1.0059	hypothetical protein
cds1375	0.000121717	0	1.08613	L-seryl-tRNA(Sec) selenium transferase
cds716	0.000116699	0	0.912014	iron(III) dicitrate transport protein FecA
cds588	0.000111048	4.2938e-06	0.897492	outer membrane protein assembly factor BamA
cds294	0.000106776	0	1.01661	arginine--tRNA ligase
cds239	0.000105492	0	1.13834	adenine-specific DNA methyltransferase
cds77	0.000100224	0	0.983135	RNA polymerase sigma factor RpoD
cds1437	0.000100168	0	0.937685	glycosyltransferase
cds744	0.000100142	0	0.977487	GTPase Der
cds467	9.75851e-05	0	0.963952	type IV secretion system protein
cds696	9.6111e-05	0	0.994323	lipoprotein releasing system transmembrane protein
cds565	9.42051e-05	0	0.867532	Ni/Fe hydrogenase small subunit
cds259	9.26257e-05	0	1.04457	3-dehydroquinate synthase
cds545	8.89782e-05	0	1.03617	uroporphyrinogen decarboxylase
cds475	8.72839e-05	0	1.1554	cag pathogenicity island protein cag12
cds322	8.17011e-05	0	1.14286	flagellar assembly protein H
cds680	8.15224e-05	0	1.04364	flagellar biosynthesis protein FlhB
cds435	8.1234e-05	0	0.987526	membrane protein
cds1233	8.01085e-05	0	0.95614	DNA internalization-related competence protein ComEC
cds211	8.00434e-05	0	1.052	glutathionylspermidine synthase
cds422	7.04939e-05	0	1.04796	potassium transporter
cds582	7.0139e-05	0	0.928216	aspartate ammonia-lyase
cds1293	6.94123e-05	0	0.939479	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
cds747	6.21485e-05	0	0.898526	hypothetical protein
cds415	5.96363e-05	0	0.927715	type I restriction-modification system endonuclease
cds791	5.95266e-05	0	0.950938	lipid II flippase MurJ
cds874	5.82932e-05	0	0.97254	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA
cds1370	5.81177e-05	0	1.03704	cytochrome c oxidase accessory protein
cds269	5.70241e-05	0	0.916667	aminodeoxychorismate synthase component I
cds254	5.59668e-05	0	1.03162	exopolyphosphatase
cds1412	5.32068e-05	0	0.962121	cell division protein FtsI
cds352	5.00121e-05	0	0.967204	primosome assembly protein PriA
cds609	4.81517e-05	0	1.15899	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
cds1313	4.49296e-05	0	0.992701	membrane protein insertase YidC
cds26	4.07808e-05	0	1.03535	hypothetical protein
cds1238	4.0216e-05	0	1.18003	type IIS restriction-modification system endonuclease
cds1342	4.01745e-05	0	0.92071	hypothetical protein
cds377	4.00662e-05	0	1.02457	mechanosensitive ion channel protein
cds1145	3.97513e-05	0	0.921697	NADH-quinone oxidoreductase subunit L
