GeneId	Ks	P2	ReadDepth	GeneProduct
cds584	0.0575736	0.0111324	2.36059	fucosyltransferase
cds888	0.0514999	0.0163549	3.72378	integrase/recombinase XerD
cds607	0.0452264	0.00484262	5.37278	membrane protein
cds1163	0.0284932	0.00323938	4.09053	membrane protein
cds344	0.0254183	0.00339953	2.86385	fucosyltransferase
cds1316	0.021259	0.00323286	3.35698	membrane protein
cds640	0.0191207	0.00161785	2.9127	membrane protein
cds637	0.0188772	0.000907267	2.70936	membrane protein
cds1285	0.01526	0.00147001	3.64245	metal-dependent hydrolase
cds1067	0.0135002	0.000686068	1.64421	hypothetical protein
cds608	0.0129387	0.000467132	7.88189	hypothetical protein
cds205	0.0112213	9.80634e-05	3.13295	membrane protein
cds1241	0.00818194	0.000664882	1.99216	adenine-specific DNA methyltransferase
cds470	0.00734008	0.000931938	2.75156	cag pathogenicity island protein cag7
cds190	0.006103	0.000188332	4.08234	beta-lactamase HcpA
cds1216	0.00565629	0.000103279	2.88247	membrane protein
cds440	0.00533429	0	1.50418	neuraminyllactose-binding hemagglutinin
cds1089	0.00449299	0	3.56395	serine acetyltransferase CysE
cds630	0.0042979	0.000209255	2.90172	competence protein ComGF
cds751	0.00419782	0	2.97727	thiamine-phosphate pyrophosphorylase
cds629	0.00379612	0.000170473	4.67927	membrane protein
cds310	0.00367432	0	4.18627	hypothetical protein
cds743	0.00335419	0	2.87031	hypothetical protein
cds154	0.00316969	0.000181659	3.28663	peptide chain release factor 2
cds645	0.00301814	0	4.18627	hypothetical protein
cds439	0.00294751	0	4.13228	50S ribosomal protein L28
cds922	0.00265678	0	6.75	7%2C 8-dihydro-6-hydroxymethylpterin-pyrophosphokinase
cds924	0.00234676	0.000116316	3.54167	3-dehydroquinate dehydratase
cds478	0.00223211	0	3.34203	cag pathogenicity island protein cag15
cds559	0.0021533	0	2.36	UDP-N-acetylmuramate--L-alanine ligase
cds1336	0.00213168	3.90143e-05	3.66493	amidophosphoribosyltransferase
cds684	0.00211428	0	2.84119	tyrosine--tRNA ligase
cds1093	0.0020595	0.000302935	3.79583	hypothetical protein
cds465	0.00196227	0	2.9751	cag pathogenicity island protein cag3
cds627	0.00195736	0	2.73623	hypothetical protein
cds1258	0.00194453	0	2.67996	DNA polymerase III subunit epsilon
cds699	0.00180897	4.58e-05	1.55787	type I restriction-modification system specificity protein
cds802	0.00155269	0.000104771	2.73578	membrane protein
cds956	0.00143483	0	4.66275	hypothetical protein
cds468	0.00135081	1.27886e-05	3.16516	type IV secretion system ATPase
cds1162	0.00133468	1.91495e-05	3.23308	hypothetical protein
cds715	0.00132301	0	3.13205	metalloprotease
cds1250	0.0013055	0	2.90869	ATP-dependent protease
cds779	0.0013045	0	3.53939	alkylphosphonate uptake protein PhnA
cds520	0.0012843	2.44124e-05	3.10811	Kdo hydrolase subunit 2
cds91	0.00124725	9.29514e-06	2.44273	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase
cds1351	0.00124013	0	3.47879	membrane protein
cds341	0.00121479	5.16541e-05	2.83582	ferrochelatase
cds544	0.0011854	2.88436e-05	2.38947	hypothetical protein
cds224	0.00114991	0.000173951	2.99611	flagellar basal body P-ring biosynthesis protein FlgA
cds1039	0.00111649	0	3.05814	pyrroline-5-carboxylate reductase
cds551	0.00109253	8.81613e-05	5.1875	hypothetical protein
cds644	0.0010699	2.41913e-05	2.66011	hypothetical protein
cds30	0.00105885	3.47147e-05	4.53107	aspartate 1-decarboxylase
cds961	0.00104081	8.68396e-05	3.07365	hypothetical protein
cds855	0.00103621	0	2.81893	RNA pseudouridine synthase
cds247	0.00103018	2.97971e-05	2.84756	hypothetical protein
cds1215	0.00101505	0.000224127	2.99767	energy transducer TonB
cds755	0.00100332	0	2.24749	type I restriction-modification system specificity protein
cds877	0.000999834	0.000110462	2.80915	cell division protein FtsZ
cds1340	0.000966726	5.91985e-05	3.27397	flagellar basal body P-ring biosynthesis protein FlgA
cds192	0.000959045	0	2.65005	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
cds249	0.000948128	0	2.83148	hypothetical protein
cds1237	0.000945782	7.04915e-05	3.56231	response regulator
cds754	0.000925567	2.85899e-05	2.46713	type I restriction-modification system endonuclease
cds808	0.000916566	0	3.64	hypothetical protein
cds942	0.000907478	1.74507e-05	2.77427	membrane protein
cds666	0.000906121	0	4.10833	5-formyltetrahydrofolate cyclo-ligase
cds1369	0.00090498	4.00793e-05	3.41192	saccharopine dehydrogenase
cds1357	0.000897112	0	2.76339	UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C6-diaminopimelate ligase
cds311	0.000879189	0	2.41093	hypothetical protein
cds611	0.000873342	0	2.41991	ferrous iron transport protein FeoB
cds641	0.0008569	0	2.31808	membrane protein
cds1081	0.000846699	0	3.65023	50S ribosomal protein L11
cds342	0.000842198	0	3.1952	thiol:disulfide interchange protein DsbC
cds739	0.000832885	1.95088e-05	2.83472	inosine 5'-monophosphate dehydrogenase
cds555	0.000813446	0	3.37326	adenylate kinase
cds1151	0.000811307	1.67018e-05	3.14702	tryptophan synthase subunit alpha
cds248	0.000802371	2.88537e-05	3.3015	membrane protein
cds847	0.000795279	2.97481e-05	2.82446	hypothetical protein
cds1247	0.000792982	0	3.88125	(3R)-hydroxymyristoyl-ACP dehydratase
cds591	0.000773386	2.57797e-05	2.60084	aspartyl/glutamyl-tRNA amidotransferase subunit B
cds1343	0.000762327	7.32331e-06	3.19071	serine--tRNA ligase
cds494	0.000756553	1.27187e-05	2.77315	rRNA small subunit methyltransferase I
cds228	0.000752931	0	3.07157	ABC transporter ATP-binding protein
cds1266	0.000739864	4.60502e-05	3.17661	NAD kinase
cds1284	0.000729016	0	2.87681	lipopolysaccharide 1%2C2-glucosyltransferase RfaJ
cds1246	0.000726275	1.11887e-05	3.63838	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
cds107	0.000696106	0	1.92815	hypothetical protein
cds368	0.000692557	4.03692e-06	2.86424	phenylalanine--tRNA ligase subunit alpha
cds1264	0.000689805	0	2.75994	hypothetical protein
cds1207	0.000689048	6.98426e-05	2.73716	hypothetical protein
cds561	0.000686028	0	2.84444	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
cds1062	0.000682008	0	3.19029	tRNA 2-thiocytidine biosynthesis protein TtcA
cds1285	0.000680615	0	2.84701	metal-dependent hydrolase
cds1037	0.000679112	2.29239e-05	2.74558	membrane protein
cds318	0.000666933	0	2.8355	CTP synthetase
cds1110	0.000648972	1.27243e-05	2.8495	membrane protein
cds1177	0.000647283	0	4.30532	50S ribosomal protein L18
cds1410	0.000646475	3.26777e-05	3.65786	30S ribosomal protein S2
cds1023	0.000640039	0	3.27421	chromosome partitioning ATPase
cds911	0.000636753	0	2.56401	chaperone protein DnaJ
cds1090	0.000629132	0	4.61006	ATP synthase subunit C
cds1315	0.000618973	6.95585e-06	3.07576	tRNA modification GTPase TrmE
cds732	0.000616176	8.70267e-06	2.68641	homoserine dehydrogenase
cds1217	0.00061228	1.24311e-05	3.06996	membrane protein
cds923	0.000604473	0	2.72905	aminopeptidase
cds1022	0.000603208	0	3.22222	ParB/RepB/Spo0J family partition protein
cds125	0.00060147	0	3.23444	iron-sulfur cluster-binding protein
cds89	0.000601147	0	3.56923	glycosyltransferase
cds457	0.000590131	0	2.41376	hypothetical protein
cds859	0.000589145	0	3.59978	glycine--tRNA ligase subunit alpha
cds639	0.000588787	0	2.70646	anaerobic C4-dicarboxylate transporter
cds1140	0.000588611	5.9666e-06	3.11874	NADH-quinone oxidoreductase subunit G
cds1344	0.000587803	7.97272e-06	3.5589	hypothetical protein
cds231	0.000585825	0	3.39239	adenylosuccinate synthetase
cds146	0.000582827	0	2.62215	beta-lactamase HcpD
cds287	0.000581256	0	4.25474	hypothetical protein
cds1422	0.00057571	0	3.0991	membrane protein
cds175	0.000575165	0	3.63802	fumarate reductase cytochrome b-556 subunit
cds598	0.000572778	0	2.53639	coproporphyrinogen III oxidase
cds753	0.000569549	0	2.8747	hydroxyethylthiazole kinase
cds1227	0.000567517	1.81607e-05	3.43917	nicotinate-nucleotide pyrophosphorylase
cds82	0.000566239	0	3.54802	hypothetical protein
cds948	0.000562391	0	2.83044	S-adenosylmethionine--tRNA ribosyltransferase-isomerase
cds309	0.000557602	0	3.40741	Holliday junction resolvase-like protein
cds52	0.000541322	0	2.74849	hypothetical protein
cds274	0.0005389	0	3.00364	dipeptide ABC transporter substrate-binding protein DppA
cds328	0.00053808	8.03552e-06	3.08696	UDP-glucose 4-epimerase
cds1010	0.000535539	7.14688e-06	3.11847	hypothetical protein
cds1364	0.000534979	0	3.79909	membrane protein
cds1190	0.000533498	0	4.09507	50S ribosomal protein L2
cds14	0.000533045	2.57453e-05	2.60618	VirB4 family type IV secretion/conjugal transfer ATPase
cds736	0.000532068	0	2.59732	glycosyltransferase
cds245	0.000528556	0	3.03501	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
cds774	0.000526252	0	2.62142	lipid-A-disaccharide synthase
cds522	0.000522667	0	2.43922	dihydroorotase
cds149	0.000522591	0	3.25074	response regulator OmpR
cds685	0.000522216	0	2.59407	penta-phosphate guanosine-3'-pyrophosphohydrolase
cds283	0.000521685	0	3.52381	F0F1 ATPase subunit
cds984	0.000520405	0	2.97608	2-keto-3-deoxy-6-phosphogluconate aldolase
cds55	0.000515598	0	2.39183	ATP-binding protein
cds530	0.000514687	0	3.9152	2-oxoglutarate-acceptor oxidoreductase subunit OorD
cds335	0.000513239	0	3.66667	biotin carboxylase
cds581	0.000511587	1.48208e-05	2.74941	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
cds1006	0.000511427	1.14987e-05	2.97444	cytosine specific DNA methyltransferase
cds383	0.000509578	6.65468e-06	2.90769	glycosyl transferase
cds1008	0.000507798	0	3.72947	hypothetical protein
cds552	0.00050709	4.41809e-06	2.36428	NAD-dependent DNA ligase LigA
cds750	0.000506631	0	2.54472	hypothetical protein
cds638	0.000506244	0	3.08761	L-asparaginase II
cds531	0.000505394	1.26516e-05	3.46897	2-oxoglutarate-acceptor oxidoreductase subunit OorA
cds653	0.000502062	2.50882e-05	2.62955	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
cds419	0.000499318	0	2.34543	hypothetical protein
cds119	0.0004919	0	2.83406	L-serine deaminase SdaA
cds740	0.000490286	1.14801e-05	2.92878	glutamyl-tRNA amidotransferase subunit A
cds364	0.000489952	2.78611e-05	2.91562	30S ribosomal protein S1
cds96	0.000488933	0	2.94257	molecular chaperone DnaK
cds371	0.000485677	0	3.80372	hypothetical protein
cds56	0.000485305	0	3.41353	urease accessory protein UreH
cds963	0.000484948	0	2.44177	nickel transport protein NixA
cds1272	0.000483652	8.13151e-06	2.59188	type I restriction-modification system endonuclease
cds1097	0.00048359	0	2.82411	isoprenyl transferase
cds1221	0.000481539	1.33138e-05	3.25641	uracil-DNA glycosylase
cds1220	0.000479223	0	4.0292	glyceraldehyde-3-phosphate dehydrogenase
cds573	0.000477908	0	2.311	tRNA nucleotidyltransferase/poly(A) polymerase
cds1265	0.000475199	0	2.90667	DNA repair protein RecN
cds1437	0.000473471	0	2.93769	glycosyltransferase
cds1011	0.000472637	0	3.47963	peptidoglycan associated lipoprotein
cds330	0.000471472	0	3.06647	permease
cds725	0.000471039	0	3.25323	flagellar motor protein MotB
cds21	0.000470522	0	2.94242	membrane protein
cds791	0.000469206	0	2.49711	lipid II flippase MurJ
cds373	0.000468398	0	2.91002	hypothetical protein
cds925	0.000463567	0	2.71705	lipid A core--O-antigen ligase
cds523	0.000463066	0	1.68103	periplasmic protein TonB
cds560	0.000462925	0	2.75089	succinyldiaminopimelate transaminase
cds519	0.000461366	0	2.50957	hypothetical protein
cds776	0.000461241	0	4.13842	hydrogenase nickel incorporation protein HypA
cds77	0.000459969	0	3.0625	RNA polymerase sigma factor RpoD
cds658	0.00045477	1.44692e-05	2.75794	hypothetical protein
cds566	0.000454325	4.88744e-06	2.96085	Ni/Fe hydrogenase large subunit
cds61	0.00045366	0	3.45205	urease subunit beta
cds1107	0.000450423	1.17338e-05	3.12024	DNA polymerase III subunit delta'
cds319	0.000449562	0	2.96562	membrane protein
cds110	0.00044722	5.1523e-06	2.83143	threonine--tRNA ligase
cds1078	0.000445522	0	4.65608	50S ribosomal protein L7/L12
cds491	0.000445366	0	3.3724	glutamate racemase
cds840	0.0004448	9.78428e-06	2.75926	alanine racemase
cds1232	0.000444351	0	2.82034	4-hydroxybenzoate octaprenyltransferase
cds1312	0.000438467	0	4.10169	membrane protein insertion efficiency factor
cds317	0.000438374	0	2.54997	single-stranded-DNA-specific exonuclease RecJ
cds1123	0.000438231	0	2.60879	ribonuclease R
cds994	0.000436843	0	4.63359	pyruvate flavodoxin oxidoreductase subunit delta
cds1147	0.000435289	0	3.19959	NADH-quinone oxidoreductase subunit N
cds266	0.000435057	0	2.81199	diaminopimelate decarboxylase
cds28	0.000435039	0	3.44203	ATP-dependent Clp protease adapter protein
cds761	0.000433788	0	3.01321	guanosine 5'-monophosphate oxidoreductase
cds693	0.000433167	0	4.06627	hypothetical protein
cds351	0.000432872	0	4.77215	hypothetical protein
cds1295	0.000432677	1.71898e-05	2.88647	ribonuclease J
cds912	0.000430527	0	3.48656	MerR family transcriptional regulator
cds1325	0.000430346	0	3.56647	hypothetical protein
cds1307	0.000430283	1.53784e-05	4.05664	SsrA-binding protein
cds623	0.000425744	0	2.50087	hypothetical protein
cds1118	0.000425384	6.18409e-05	3.20527	membrane protein
cds164	0.000425336	1.06166e-05	2.60876	apolipoprotein N-acyltransferase
cds241	0.000422952	0	2.90318	cytochrome c biogenesis protein CcdA
cds441	0.000421126	0	2.71375	phospho-N-acetylmuramoyl-pentapeptide-transferase
cds793	0.000420869	0	2.90524	vacuolating cytotoxin autotransporter
cds1287	0.000420732	0	4.73408	flagellar biosynthesis protein FliQ
cds493	0.000419805	0	5.18627	50S ribosomal protein L31
cds1403	0.000414037	7.03254e-06	2.85874	leucine--tRNA ligase
cds954	0.000413682	0	3.02894	50S ribosomal protein L11 methyltransferase
cds880	0.000412487	0	2.99879	mechanosensitive ion channel protein
cds1308	0.000411391	0	4.52759	biopolymer transport protein ExbB
cds741	0.000411133	0	2.9154	dephospho-CoA kinase
cds1326	0.000407797	0	4.14307	hypothetical protein
cds789	0.000407579	0	2.65761	Holliday junction DNA helicase RuvA
cds162	0.000407294	0	2.98534	pseudaminic acid synthase
cds665	0.000406066	0	3.55381	flagellar biosynthesis protein FliS
cds276	0.000404621	1.08984e-05	3.02914	dipeptide ABC transporter permease DppC
cds434	0.000402517	1.23917e-05	2.91115	membrane protein
cds112	0.000401634	0	6.69231	50S ribosomal protein L35
cds839	0.000401365	0	3.08301	amino acid ABC transporter substrate-binding protein
cds1179	0.0004012	1.53465e-05	4.5	30S ribosomal protein S8
cds117	0.000398807	0	5.28571	hypothetical protein
cds129	0.000393943	0	2.99899	DNA glycosylase MutY
cds490	0.000393111	3.03558e-06	2.8638	cytotoxicity-associated immunodominant antigen
cds216	0.000391259	0	2.77336	proline--tRNA ligase
cds48	0.000390844	0	2.79298	hypothetical protein
cds134	0.000390836	0	5.61353	hypothetical protein
cds822	0.000389195	0	3.03752	membrane protein
cds503	0.000388987	0	4.61033	30S ribosomal protein S21
cds792	0.000388476	0	2.60086	cysteine--tRNA ligase
cds76	0.000388213	0	3.10699	hypothetical protein
cds988	0.000387676	0	3.19683	glucokinase
cds288	0.000387556	9.49265e-06	3.32609	ATP-binding protein
cds446	0.000386364	0	2.74041	sodium- and chloride-dependent transporter
cds1407	0.00038565	0	3.33594	preprotein translocase subunit YajC
cds157	0.00038322	0	2.65508	hypothetical protein
cds208	0.000382828	0	3.26639	3-deoxy-manno-octulosonate cytidylyltransferase
cds87	0.000381706	0	3.07317	hypothetical protein
cds1134	0.000381438	0	4.33582	NADH-quinone oxidoreductase subunit A
cds451	0.000380134	0	3.49765	NUDIX hydrolase
cds347	0.000380066	0	2.86029	zinc-metallo protease
cds226	0.000379624	0	3.23049	membrane protein
cds1286	0.000377967	0	3.04615	UDP-N-acetylenolpyruvoylglucosamine reductase
cds171	0.00037742	0	4.24906	hypothetical protein
cds835	0.000377289	0	2.96502	hypothetical protein
cds1332	0.000377194	0	3.34003	membrane protein
cds1367	0.000375755	0	3.24348	hypothetical protein
cds467	0.000371648	4.97575e-06	2.69737	type IV secretion system protein
cds352	0.00037028	0	2.68387	primosome assembly protein PriA
cds749	0.000367791	0	2.74883	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
cds258	0.000367409	5.88728e-06	2.88219	hypothetical protein
cds662	0.000367313	0	2.63757	peptidase M23
cds1098	0.00036622	0	2.72849	D-lactate dehydrogenase
cds1200	0.000365061	0	4.36772	hypothetical protein
cds1311	0.000363637	0	4.09465	ribonuclease P protein component
cds965	0.000362586	0	2.29919	ATP/GTP phosphatase
cds1276	0.00036041	0	2.93402	YihY family inner membrane protein
cds807	0.000359884	0	5.96032	membrane protein
cds431	0.000358829	9.63994e-06	2.86056	GTP-binding protein
cds203	0.000357057	0	2.89537	bifunctional methionine sulfoxide reductase subunits A/B
cds521	0.000356534	0	1.82038	Kdo hydrolase subunit 2
cds651	0.000354564	1.4218e-05	2.43582	D-alanine--D-alanine ligase
cds864	0.000354342	0	2.65315	hypothetical protein
cds680	0.000351607	1.03051e-05	2.6091	flagellar biosynthesis protein FlhB
cds671	0.000351369	0	2.46491	membrane protein
cds223	0.000351349	0	3.77358	hypothetical protein
cds215	0.00035022	0	3.21933	porphobilinogen deaminase
cds860	0.000348934	0	2.69755	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
cds927	0.000348753	0	2.55722	flagellar biosynthesis protein FlhA
cds1353	0.000348661	7.69181e-06	2.93852	membrane protein
cds1303	0.00034721	0	3.50769	hypothetical protein
cds1174	0.000346591	0	3.49248	preprotein translocase subunit SecY
cds936	0.000346372	0	3.01701	homoserine kinase
cds632	0.000339806	0	2.7704	ABC transporter ATP-binding protein
cds514	0.000338339	0	4.32132	membrane protein
cds196	0.000337642	0	2.72966	beta-1%2C4-N-acetylgalactosamyltransferase
cds1054	0.000335505	0	3.02899	hypothetical protein
cds816	0.000334685	0	3.26292	membrane protein
cds999	0.000332663	3.75209e-06	2.85989	excinuclease ABC subunit B
cds966	0.000332509	0	2.84561	restriction endonuclease
cds1229	0.000332092	0	3.29851	phosphatidylserine decarboxylase
cds1270	0.000331125	1.78937e-05	3.30684	iron(III) dicitrate transport protein FecA
cds597	0.000330349	0	2.81589	hypothetical protein
cds346	0.000328418	0	2.49097	SAM-dependent methyltransferase
cds868	0.00032591	0	2.90741	nickel-cobalt-cadmium resistance protein NccB
cds427	0.000323597	0	2.60273	glutamate--tRNA ligase
cds277	0.000321548	0	3.24884	dipeptide ABC transporter ATP-binding protein DppD
cds601	0.000321387	0	2.71218	membrane protein
cds1108	0.000319722	0	3.05599	bifunctional dihydropteroate synthase/dihydropteroate reductase
cds933	0.000316992	0	3.96429	ribosome-binding factor A
cds79	0.000316413	1.37901e-05	2.97849	malonyl CoA-ACP transacylase
cds145	0.000314852	0	2.53798	lipopolysaccharide 1%2C2-glucosyltransferase RfaJ
cds695	0.000313118	0	2.59315	preprotein translocase subunit SecA
cds1165	0.000312519	0	3.41301	thiamine pyrophosphokinase
cds29	0.000312079	0	2.72686	ATP-dependent Clp protease ATP-binding subunit ClpA
cds1388	0.000311625	0	4.7875	hypothetical protein
cds442	0.000310256	0	2.56659	UDP-N-acetylmuramoylalanine--D-glutamate ligase
cds40	0.000309299	0	3.07654	agmatine deiminase
cds764	0.000309146	0	2.75648	phosphoheptose isomerase
cds178	0.000308932	0	3.05341	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
cds462	0.000308797	0	3.13998	hypothetical protein
cds1416	0.000308446	0	2.64781	cell division protein FtsW
cds1240	0.000307441	0	2.43171	type IIS restriction-modification system methyltransferase
