GeneId	Ks	P2	ReadDepth	GeneProduct
cds607	0.0519676	0.00695485	0.974359	membrane protein
cds584	0.0395563	0.00430289	0.683438	fucosyltransferase
cds802	0.0309448	0.00514648	0.545369	membrane protein
cds21	0.0296016	0.00372102	0.720037	membrane protein
cds905	0.0274005	0.00518762	0.808974	amino acid permease
cds737	0.0237299	0.00253389	1.05221	ss-DNA binding protein
cds1241	0.0184512	0.00322836	0.884314	adenine-specific DNA methyltransferase
cds470	0.0114918	0.00135544	0.566563	cag pathogenicity island protein cag7
cds621	0.0111371	0.000840847	0.533011	DNA gyrase subunit A
cds603	0.00724952	0.000619552	0.517906	integrase/recombinase
cds622	0.00712453	0.000590177	0.918239	hypothetical protein
cds187	0.00700623	0.000990644	0.71875	lipopolysaccharide biosynthesis protein
cds1135	0.00624203	0.000644536	0.858333	NADH-quinone oxidoreductase subunit B
cds190	0.00597661	0.000423856	1.05179	beta-lactamase HcpA
cds1085	0.0059237	0.00158174	0.683333	elongation factor Tu
cds52	0.00552521	0.000159802	0.77666	hypothetical protein
cds310	0.00425285	0	0.937908	hypothetical protein
cds1038	0.00404764	0.00036443	0.588681	membrane protein
cds889	0.00384085	0.000425074	0.896284	hypothetical protein
cds883	0.0036779	0	0.918803	hypothetical protein
cds659	0.00347512	0.000353299	0.598139	tRNA (guanine-N(7)-)-methyltransferase
cds1037	0.00315317	0.000327499	0.584409	membrane protein
cds1122	0.00253754	5.56866e-05	0.479961	DNA polymerase III subunit delta
cds616	0.00250982	9.33897e-05	0.550887	acetone carboxylase subunit beta
cds624	0.0025053	0.000477034	0.535256	excinuclease ABC subunit A
cds608	0.00249536	0.000175058	1.11286	hypothetical protein
cds983	0.00246084	0.000568672	0.791523	beta-lactamase HcpC
cds990	0.00237412	0.000177496	1.0216	LPS biosynthesis protein
cds619	0.0023203	2.33672e-05	0.574344	hypothetical protein
cds1018	0.00226697	0.000891362	0.632937	ATP synthase subunit alpha
cds652	0.00223468	8.45881e-05	0.702479	phosphatidylglycerophosphatase
cds6	0.00222523	5.38124e-05	0.67664	membrane protein
cds1348	0.00207259	0	0.801047	hypothetical protein
cds1320	0.00186469	0	0.796209	lipoprotein
cds746	0.00184224	0	0.705502	hypothetical protein
cds1253	0.00181141	0	0.872774	hypothetical protein
cds1067	0.00180628	0.000111534	0.57513	hypothetical protein
cds1116	0.00176465	5.16042e-05	0.586085	alanine--tRNA ligase
cds466	0.00165583	0	0.733333	cag pathogenicity island protein cag4
cds658	0.00152684	1.49194e-05	0.661111	hypothetical protein
cds110	0.00148522	4.65718e-05	0.581294	threonine--tRNA ligase
cds1123	0.00139724	2.45304e-05	0.618605	ribonuclease R
cds412	0.00130326	5.12373e-05	0.806752	VirB4 family type IV secretion/conjugal transfer ATPase
cds106	0.00127396	4.41608e-05	0.904762	hypothetical protein
cds1134	0.00123911	0	0.915423	NADH-quinone oxidoreductase subunit A
cds261	0.00121798	0	0.649165	radical SAM methylthiotransferase
cds1315	0.00121493	0	0.691919	tRNA modification GTPase TrmE
cds76	0.00108412	2.30316e-05	0.681951	hypothetical protein
cds653	0.00108038	4.01078e-05	0.577598	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
cds678	0.0010465	0	0.733954	cyclic pyranopterin monophosphate synthase
cds1126	0.00103246	0	0.582617	oligopeptide ABC transporter permease OppB
cds699	0.00101322	1.86089e-05	0.782407	type I restriction-modification system specificity protein
cds452	0.000930639	9.63118e-05	0.603385	plasminogen-binding protein PgbA
cds835	0.000923111	0	0.711934	hypothetical protein
cds1071	0.000895706	0	1.3156	hypothetical protein
cds414	0.000808586	0	0.639344	type I restriction-modification system methyltransferase
cds468	0.000777091	0	0.817724	type IV secretion system ATPase
cds591	0.000674387	0	0.582633	aspartyl/glutamyl-tRNA amidotransferase subunit B
cds1118	0.000630857	0	0.579927	membrane protein
cds129	0.000531192	0	0.74772	DNA glycosylase MutY
cds661	0.000422403	0	0.690211	protein insertion permease FtsX
cds766	0.000405316	0	0.700906	ADP-glyceromanno-heptose 6-epimerase
cds17	0.000394334	0	0.619869	carboxynorspermidine decarboxylase NspC
cds1394	0.000352503	0	0.750583	ubiquinol cytochrome c oxidoreductase cytochrome c1 subunit
cds19	0.000350843	0	0.699872	lipid A phosphoethanolamine transferase
cds833	0.00031433	0	0.698176	6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase
cds1093	0.000310175	0	0.783333	hypothetical protein
cds496	0.000299599	0	0.68323	hypothetical protein
cds633	0.000288114	0	0.843284	tRNA threonylcarbamoyl adenosine modification protein
cds685	0.000277702	0	0.561856	penta-phosphate guanosine-3'-pyrophosphohydrolase
cds1358	0.00026218	0	0.667718	transaldolase
cds1199	0.00024997	0	0.665948	fumarate hydratase
cds847	0.000235706	0	0.602564	hypothetical protein
cds1164	0.000233983	0	0.764706	nicotinamide mononucleotide transporter PnuC
cds1088	0.000233162	0	0.679798	adenine-specific DNA methyltransferase
cds1190	0.000229301	0	0.738869	50S ribosomal protein L2
cds842	0.000228261	0	0.662612	D-amino acid dehydrogenase DadA
cds420	0.000223668	0	0.826176	hypothetical protein
cds1145	0.000215785	0	0.656335	NADH-quinone oxidoreductase subunit L
cds834	0.000197794	0	0.769841	7-carboxy-7-deazaguanine synthase
cds941	0.000194895	0	0.678307	membrane protein
cds211	0.000193185	0	0.685422	glutathionylspermidine synthase
cds1215	0.000188559	0	0.660839	energy transducer TonB
cds771	0.000188261	0	0.736682	hypothetical protein
cds1327	0.00017203	0	0.762255	hypothetical protein
cds1374	0.000162796	0	0.656796	hypothetical protein
cds1033	0.000159225	0	0.634744	signal recognition particle protein
cds258	0.000149161	0	0.704782	hypothetical protein
cds643	0.000145506	0	0.609298	tRNA(Ile)-lysidine synthetase
cds1061	0.000145445	0	0.655405	multidrug transporter
cds609	0.000142166	0	0.686636	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
cds811	0.000131618	0	0.727373	flagellar basal body rod modification protein
cds32	0.000130588	0	0.697512	PDZ domain-containing protein
cds907	0.000127398	0	0.705686	chemotaxis protein CheY
cds682	0.000123789	0	0.677249	N-acetylmuramoyl-L-alanine amidase
cds467	0.000123309	0	0.632844	type IV secretion system protein
cds1128	0.000122063	0	0.658824	tryptophan--tRNA ligase
cds816	0.000119293	0	0.596899	membrane protein
cds36	0.000119156	0	0.713787	GDP-D-mannose dehydratase
cds225	0.000115917	0	0.592968	DEAD/DEAH box helicase
cds860	0.000110212	0	0.614483	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
cds236	0.000109929	0	0.708225	adenine-specific DNA methyltransferase
cds1232	0.000109543	0	0.682486	4-hydroxybenzoate octaprenyltransferase
cds56	0.000104671	0	0.714286	urease accessory protein UreH
cds323	0.000101683	0	0.548196	1-deoxy-D-xylulose-5-phosphate synthase
cds934	9.47039e-05	5.25552e-06	0.574603	translation initiation factor IF-2
cds1127	9.35691e-05	0	0.636975	oligopeptide ABC transporter substrate-binding protein OppA
cds431	8.17902e-05	0	0.555556	GTP-binding protein
cds75	8.06124e-05	0	0.636364	malate:quinone oxidoreductase
cds379	7.73133e-05	0	0.606759	methionine--tRNA ligase
cds646	7.38561e-05	0	0.580139	hypothetical protein
cds554	7.32518e-05	0	0.540369	aspartate--tRNA ligase
cds421	7.05309e-05	0	0.620035	oligoendopeptidase F
cds434	6.95809e-05	0	0.68557	membrane protein
cds471	6.83933e-05	0	0.639898	cag pathogenicity island protein cag8
cds364	6.52817e-05	0	0.643327	30S ribosomal protein S1
cds1316	6.50453e-05	0	0.645694	membrane protein
cds606	6.32011e-05	0	0.551331	ribonucleotide-diphosphate reductase subunit alpha
cds1004	5.92224e-05	0	0.633718	flagellar hook-associated protein FlgK
cds1272	4.76442e-05	0	0.640845	type I restriction-modification system endonuclease
cds102	4.50387e-05	0	0.570227	flagellin B
cds695	4.24091e-05	0	0.594303	preprotein translocase subunit SecA
cds783	3.84532e-05	0	0.573232	outer membrane protein
cds824	1.83414e-05	0	0.555863	hypothetical protein
cds8	0	0	1.13165	co-chaperonin GroES
cds12	0	0	1.08865	hypothetical protein
cds13	0	0	1.24621	hypothetical protein
cds0	0	0	0.911271	transcription antitermination protein NusB
cds1	0	0	0.855626	6%2C7-dimethyl-8-ribityllumazine synthase
cds18	0	0	0.705061	lipid A 1-phosphatase
cds11	0	0	0.736715	hypothetical protein
cds10	0	0	0.65717	ATP-binding protein
cds3	0	0	0.87988	carbonic anhydrase IcfA
