GeneId	Ks	P2	ReadDepth	GeneProduct
cds1162	0.0632819	0.0112843	2.00501	hypothetical protein
cds100	0.0614529	0.00709236	1.3367	hypothetical protein
cds629	0.0517877	0.00604458	1.90872	membrane protein
cds194	0.0500194	0.00680793	0.940075	phosphatidate cytidylyltransferase
cds200	0.0490352	0.00529934	1.08665	nitrogen fixation protein NifU
cds202	0.0453045	0.00517562	0.814004	DNA repair protein RadA
cds888	0.0440477	0.0129905	1.87266	integrase/recombinase XerD
cds640	0.0390001	0.00469517	0.957672	membrane protein
cds193	0.0374246	0.00284874	0.955998	carboxylate transporter
cds71	0.0371358	0.00415541	0.895648	methyl-accepting chemotaxis transducer TlpC
cds203	0.0368742	0.00290739	0.962037	bifunctional methionine sulfoxide reductase subunits A/B
cds195	0.0361884	0.0041414	0.914182	1-deoxy-D-xylulose 5-phosphate reductoisomerase
cds199	0.0361698	0.00310689	0.891753	cysteine desulfurase
cds385	0.035563	0.00579092	0.641855	hypothetical protein
cds204	0.0306453	0.00236629	0.965228	membrane protein
cds275	0.0280663	0.00273806	1.0806	dipeptide ABC transporter permease DppB
cds1042	0.027978	0.000752666	1.12929	flavodoxin FldA
cds1222	0.0269981	0.00243404	1.11618	1-acylglycerol-3-phosphate O-acyltransferase
cds435	0.0267016	0.0028478	1.00069	membrane protein
cds1057	0.0262915	0.00551061	1.07373	membrane protein
cds570	0.0258333	0.00233016	1.28918	hypothetical protein
cds607	0.0252454	0.00047727	1.16174	membrane protein
cds277	0.0251819	0.00177005	1.0544	dipeptide ABC transporter ATP-binding protein DppD
cds1067	0.0250534	0.00135979	0.626079	hypothetical protein
cds566	0.0239854	0.0021084	0.888313	Ni/Fe hydrogenase large subunit
cds1034	0.0231735	0.00286849	0.854857	valine--tRNA ligase
cds905	0.0227493	0.00401791	1.28462	amino acid permease
cds572	0.0225237	0.00227352	0.886931	7-cyano-7-deazaguanine synthase QueC
cds567	0.0224628	0.0011422	1.08444	Ni/Fe-hydrogenase B-type cytochrome subunit
cds190	0.0220575	0.00129163	1.85126	beta-lactamase HcpA
cds573	0.0219839	0.00209256	0.968569	tRNA nucleotidyltransferase/poly(A) polymerase
cds541	0.0218584	0.00197925	1.07407	multidrug ABC transporter ATP-binding protein/permease
cds96	0.0217095	0.00183889	0.91197	molecular chaperone DnaK
cds584	0.0213333	0.00337679	0.924528	fucosyltransferase
cds201	0.0208377	0.000698369	1.76126	hypothetical protein
cds99	0.0208187	0.0020718	1.16954	hypothetical protein
cds196	0.0207506	0.00108283	0.930009	beta-1%2C4-N-acetylgalactosamyltransferase
cds577	0.0205544	0.00344735	1.45238	membrane protein
cds543	0.0200201	0.00186593	1.11416	3-methyladenine DNA glycosylase
cds103	0.0198399	0.00210023	0.922207	DNA topoisomerase I
cds187	0.0185626	0.00115427	1.04545	lipopolysaccharide biosynthesis protein
cds101	0.0183223	0.00153887	0.90567	hypothetical protein
cds476	0.0183046	0.000899519	1.41455	cag pathogenicity island protein cag13
cds568	0.0181562	0.000930768	1.10615	hydrogenase biosynthesis protein HydD
cds276	0.0180936	0.00158939	1.16084	dipeptide ABC transporter permease DppC
cds540	0.0179051	0.000809373	0.997696	methyl-accepting chemotaxis protein
cds1223	0.0176928	0.000955631	1.0043	hypothetical protein
cds575	0.0176697	0.00181461	1.1682	NAD(P)H nitroreductase
cds98	0.0157533	0.00082563	1.06017	heat-inducible transcription repressor
cds802	0.0153036	0.00179072	0.819934	membrane protein
cds278	0.0148651	0.000753843	0.965304	dipeptide ABC transporter ATP-binding protein DppF
cds569	0.0148416	0.00136917	0.923977	hydrogenase biosynthesis protein HydE
cds1224	0.0146221	0.00121074	0.968841	protease
cds486	0.0140916	0.000611879	0.969851	type IV secretion/conjugal transfer ATPase
cds552	0.0137096	0.000994069	0.870117	NAD-dependent DNA ligase LigA
cds637	0.013616	0.000756361	0.934866	membrane protein
cds104	0.0133783	0.00109823	1.01187	hypothetical protein
cds1206	0.0133763	0.00102654	0.945045	molecular chaperone DnaJ
cds1212	0.013314	0.000822188	1.34676	nickel responsive regulator
cds105	0.0129224	0.00170098	0.324074	hypothetical protein
cds653	0.0125053	0.000833904	0.9278	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
cds571	0.0123892	0.000819043	0.96841	membrane protein
cds1120	0.0122543	0.00208042	1.34815	single-stranded DNA-binding protein
cds191	0.011505	0.00102687	0.895833	succinyl-diaminopimelate desuccinylase
cds565	0.0109438	0.000755791	0.88658	Ni/Fe hydrogenase small subunit
cds1121	0.0106871	0.000296517	1.37296	30S ribosomal protein S6
cds6	0.0104511	0.000999877	0.748031	membrane protein
cds574	0.0100285	0.00179351	2.24123	hypothetical protein
cds578	0.0099448	0.00141088	0.914439	lytic murein transglycosylase
cds551	0.00959219	0.000457116	1.3869	hypothetical protein
cds102	0.00956838	0.00104954	0.853722	flagellin B
cds542	0.00925849	0.00109574	1.04175	flagellin A
cds1122	0.0091811	0.000415992	0.954057	DNA polymerase III subunit delta
cds433	0.00916317	0.00119539	0.898413	catalase-like protein
cds91	0.00901093	0.00113476	0.823597	2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase
cds576	0.00864722	0.000650167	0.972727	glutamylglutaminyl-tRNA synthetase
cds475	0.00832641	0.000397657	1.09609	cag pathogenicity island protein cag12
cds1118	0.00824981	0.000394543	1.70254	membrane protein
cds97	0.00811187	0.000291147	1.27018	heat shock protein GrpE
