GeneId	Ks	P2	ReadDepth	GeneProduct
cds1001	0.0872237	0.0255268	3.74461	hypothetical protein
cds990	0.0367315	0.00261936	5.33565	LPS biosynthesis protein
cds607	0.0310077	0.00272151	5.35897	membrane protein
cds640	0.0274314	0.00421098	4.63968	membrane protein
cds584	0.0211695	0.00216302	3.96646	fucosyltransferase
cds1280	0.0203043	0.00148728	2.36246	hypothetical protein
cds205	0.0195927	0.00323244	4.30154	membrane protein
cds1215	0.0192012	0.00908679	5.21445	energy transducer TonB
cds470	0.0191662	0.00309798	3.92687	cag pathogenicity island protein cag7
cds1067	0.0146742	0.00054538	3.962	hypothetical protein
cds608	0.0136846	0	5.18898	hypothetical protein
cds385	0.0135438	0	2.43474	hypothetical protein
cds1316	0.0127989	0.00170162	4.81437	membrane protein
cds1418	0.0109772	0.00234239	4.58882	iron(III) ABC transporter substrate-binding protein CeuE
cds989	0.0104008	0.00198458	4.7851	cinnamyl-alcohol dehydrogenase
cds187	0.00968787	0.00184369	5.03314	lipopolysaccharide biosynthesis protein
cds1216	0.00949004	0.000987913	3.55202	membrane protein
cds802	0.0093009	0.00240626	4.52515	membrane protein
cds825	0.00899512	0.000782625	4.57297	membrane protein
cds107	0.00891251	8.3972e-05	3.39432	hypothetical protein
cds26	0.00815197	0.00137971	5.38496	hypothetical protein
cds344	0.00764459	0.00160228	4.47496	fucosyltransferase
cds1057	0.00698897	0.00179002	3.62928	membrane protein
cds190	0.00649144	0.00120715	4.77291	beta-lactamase HcpA
cds1162	0.00617645	4.83585e-05	4.96992	hypothetical protein
cds437	0.00613249	0.000271234	5.73649	hypothetical protein
cds6	0.00605535	0.000552233	3.40735	membrane protein
cds804	0.00593819	0.000827086	4.30638	hydrogenase expression/formation protein HypD
cds798	0.00585393	0.000651724	5.44689	addiction module toxin
cds924	0.00571093	0.000287473	4.98611	3-dehydroquinate dehydratase
cds699	0.00559215	0.000218648	4.27469	type I restriction-modification system specificity protein
cds310	0.00481777	0	5.28758	hypothetical protein
cds770	0.00409831	0.000175036	4.71455	plasminogen-binding protein PgbB
cds21	0.00332552	0.000551483	3.83427	membrane protein
cds1241	0.00332418	0.000108459	3.27255	adenine-specific DNA methyltransferase
cds436	0.00323833	0.000946165	4.15205	hypothetical protein
cds637	0.00305739	0.000143594	4.0208	membrane protein
cds1334	0.00278482	0	3.04774	hypothetical protein
cds800	0.00239192	0.000219293	30.5393	addiction module toxin
cds1417	0.00224382	0.000261131	4.37599	iron(III) ABC transporter substrate-binding protein CeuE
cds629	0.00221908	0.000138673	8.52395	membrane protein
cds1163	0.00192869	7.55256e-05	4.37449	membrane protein
cds1000	0.00177469	0	4.39156	hypothetical protein
cds48	0.00172477	0	4.00234	hypothetical protein
cds1156	0.00167241	7.48429e-05	4.83433	anthranilate synthase component I
cds1118	0.00160506	9.85791e-05	3.13397	membrane protein
cds145	0.00157485	0.000170123	4.43968	lipopolysaccharide 1%2C2-glucosyltransferase RfaJ
cds799	0.00148279	0	5.4375	hypothetical protein
cds769	0.00113786	0	4.70387	pantothenate kinase
cds588	0.00104266	0.000114706	3.91458	outer membrane protein assembly factor BamA
cds942	0.000967798	0	4.67602	membrane protein
cds428	0.000885498	0	4.63225	membrane protein
cds1333	0.000730368	0	4.09668	DNA polymerase I
cds77	0.000727271	0	4.54266	RNA polymerase sigma factor RpoD
cds443	0.000722033	0	5.4751	hypothetical protein
cds523	0.000712807	2.69942e-05	3.01026	periplasmic protein TonB
cds708	0.000566079	5.02301e-05	4.7307	molybdopterin adenylyltransferase
cds357	0.00051673	0	4.27985	histidine kinase CheA
cds1038	0.000485274	0	4.2326	membrane protein
cds1021	0.000398971	0	5.38391	ATP synthase subunit B'
cds92	0.000397358	0	4.56291	S-ribosylhomocysteinase
cds1183	0.000387143	0	5.39566	50S ribosomal protein L14
cds709	0.000381599	0	4.95662	molybdopterin synthase catalytic subunit
cds912	0.000370836	0	4.80376	MerR family transcriptional regulator
cds634	0.000334403	0	4.1635	DNA polymerase III subunits gamma and tau
cds1143	0.000333187	0	4.73042	NADH-quinone oxidoreductase subunit J
cds604	0.000327196	0	4.40631	methylated-DNA--protein-cysteine methyltransferase
cds838	0.000318022	0	4.45938	amino acid ABC transporter permease
cds270	0.000317269	0	4.33137	acylamide amidohydrolase
cds1358	0.000310081	0	4.47634	transaldolase
cds1195	0.000297863	7.83391e-06	4.41358	ATP-binding protein
cds939	0.000297091	0	4.4893	septum site-determining protein MinC
cds1231	0.000282835	0	5.19746	hypothetical protein
cds1271	0.000282345	0	4.55791	metal-dependent hydrolase
cds293	0.000282062	7.89827e-06	4.36508	heme oxygenase
cds641	0.000279751	0	3.95969	membrane protein
cds273	0.00027938	0	5.81273	50S ribosomal protein L27
cds901	0.000276937	0	4.07973	4-hydroxy-tetrahydrodipicolinate synthase
cds217	0.000273699	1.35875e-05	4.21185	glutamyl-tRNA reductase
