GeneId	Ks	P2	ReadDepth	GeneProduct
cds1316	0.0338373	0.00768678	3.40696	membrane protein
cds607	0.0332939	0.00317526	3.7574	membrane protein
cds608	0.033263	0.00074327	2.94488	hypothetical protein
cds584	0.0260493	0.00130866	2.20615	fucosyltransferase
cds1001	0.0260275	0.00536984	2.81837	hypothetical protein
cds21	0.0173567	0.00239028	3.29728	membrane protein
cds470	0.0169388	0.00217954	3.20211	cag pathogenicity island protein cag7
cds802	0.0168924	0.00185224	1.76446	membrane protein
cds699	0.0168795	0.00211419	2.18981	type I restriction-modification system specificity protein
cds437	0.0132677	0.00133221	2.95495	hypothetical protein
cds989	0.0106302	0.00191228	3.63419	cinnamyl-alcohol dehydrogenase
cds1067	0.00792986	0	2.31002	hypothetical protein
cds107	0.00786672	0.000574157	1.92398	hypothetical protein
cds1000	0.00665209	0.000711491	3.31004	hypothetical protein
cds1162	0.00664554	0	4.33584	hypothetical protein
cds205	0.00659456	0.000880847	2.80058	membrane protein
cds629	0.00633489	0.000534709	5.21483	membrane protein
cds755	0.00589384	1.26121e-06	2.64437	type I restriction-modification system specificity protein
cds310	0.0058386	0	5.76471	hypothetical protein
cds770	0.00416503	0.000119502	3.05525	plasminogen-binding protein PgbB
cds1163	0.00370513	0	3.25103	membrane protein
cds6	0.00307119	0.000530298	5.45879	membrane protein
cds335	0.002954	0	3.88017	biotin carboxylase
cds640	0.00273811	0.000342796	2.96243	membrane protein
cds804	0.00266212	3.88436e-05	3.50494	hydrogenase expression/formation protein HypD
cds800	0.00256499	0.000203033	35.5019	addiction module toxin
cds871	0.00242565	0	3.04049	hypothetical protein
cds811	0.00220582	0	3.45254	flagellar basal body rod modification protein
cds1232	0.00172068	7.64317e-05	2.85763	4-hydroxybenzoate octaprenyltransferase
cds924	0.00155182	5.84182e-05	4.1627	3-dehydroquinate dehydratase
cds468	0.00144005	0.000156795	2.88419	type IV secretion system ATPase
cds803	0.00139965	0	3.89314	hypothetical protein
cds751	0.00131471	0	3.38788	thiamine-phosphate pyrophosphorylase
cds1282	0.00125011	2.76177e-05	4.47661	hypothetical protein
cds345	0.00119061	0	2.67483	glutamate dehydrogenase
cds769	0.00117727	0	3.58185	pantothenate kinase
cds1088	0.00113569	0	2.84242	adenine-specific DNA methyltransferase
cds277	0.00113541	0.000124741	2.96875	dipeptide ABC transporter ATP-binding protein DppD
cds1388	0.00113479	9.71727e-05	4.94167	hypothetical protein
